network,indeg,meanV
uniform 1-10,1,30.21
uniform 1-10,2,30.146
uniform 1-10,3,28.924
uniform 1-10,4,29.66
uniform 1-10,5,28.338
uniform 1-10,6,31.342
uniform 1-10,7,28.59
uniform 1-10,8,27.564
uniform 1-10,9,28.378
uniform 1-10,10,27.442
uniform 1-10,1,31.496
uniform 1-10,2,32.592
uniform 1-10,3,28.35
uniform 1-10,4,30.764
uniform 1-10,5,29.374
uniform 1-10,6,28.332
uniform 1-10,7,27.406
uniform 1-10,8,26.118
uniform 1-10,9,26.934
uniform 1-10,10,27.868
uniform 1-10,1,30.554
uniform 1-10,2,34.958
uniform 1-10,3,30.854
uniform 1-10,4,29.534
uniform 1-10,5,27.668
uniform 1-10,6,30.34
uniform 1-10,7,30.08
uniform 1-10,8,27.09
uniform 1-10,9,28.326
uniform 1-10,10,28.064
uniform 1-10,1,31.144
uniform 1-10,2,31.0
uniform 1-10,3,31.232
uniform 1-10,4,27.646
uniform 1-10,5,28.078
uniform 1-10,6,28.19
uniform 1-10,7,27.572
uniform 1-10,8,24.974
uniform 1-10,9,26.57
uniform 1-10,10,25.858
uniform 1-10,1,35.522
uniform 1-10,2,28.458
uniform 1-10,3,33.34
uniform 1-10,4,29.756
uniform 1-10,5,27.186
uniform 1-10,6,28.6
uniform 1-10,7,29.59
uniform 1-10,8,26.238
uniform 1-10,9,26.012
uniform 1-10,10,25.486
uniform 1-10,1,30.504
uniform 1-10,2,33.14
uniform 1-10,3,30.07
uniform 1-10,4,29.06
uniform 1-10,5,29.964
uniform 1-10,6,25.39
uniform 1-10,7,29.556
uniform 1-10,8,28.284
uniform 1-10,9,27.662
uniform 1-10,10,30.08
uniform 1-10,1,33.81
uniform 1-10,2,30.7
uniform 1-10,3,29.332
uniform 1-10,4,31.456
uniform 1-10,5,27.056
uniform 1-10,6,29.61
uniform 1-10,7,28.81
uniform 1-10,8,28.834
uniform 1-10,9,26.724
uniform 1-10,10,25.416
uniform 1-10,1,29.802
uniform 1-10,2,28.532
uniform 1-10,3,26.256
uniform 1-10,4,30.212
uniform 1-10,5,28.884
uniform 1-10,6,28.558
uniform 1-10,7,30.358
uniform 1-10,8,26.566
uniform 1-10,9,29.086
uniform 1-10,10,25.712
uniform 1-10,1,34.114
uniform 1-10,2,32.082
uniform 1-10,3,32.258
uniform 1-10,4,27.862
uniform 1-10,5,30.752
uniform 1-10,6,31.362
uniform 1-10,7,30.986
uniform 1-10,8,27.666
uniform 1-10,9,27.928
uniform 1-10,10,26.014
uniform 1-10,1,31.43
uniform 1-10,2,28.614
uniform 1-10,3,30.774
uniform 1-10,4,27.64
uniform 1-10,5,28.41
uniform 1-10,6,27.8
uniform 1-10,7,29.552
uniform 1-10,8,27.222
uniform 1-10,9,27.282
uniform 1-10,10,29.144
uniform 1-10,1,35.262
uniform 1-10,2,30.746
uniform 1-10,3,29.406
uniform 1-10,4,31.896
uniform 1-10,5,29.666
uniform 1-10,6,30.52
uniform 1-10,7,30.184
uniform 1-10,8,26.79
uniform 1-10,9,28.466
uniform 1-10,10,28.958
uniform 1-10,1,28.75
uniform 1-10,2,32.33
uniform 1-10,3,30.758
uniform 1-10,4,31.758
uniform 1-10,5,27.43
uniform 1-10,6,28.994
uniform 1-10,7,28.334
uniform 1-10,8,29.628
uniform 1-10,9,30.178
uniform 1-10,10,29.294
uniform 1-10,1,30.152
uniform 1-10,2,33.93
uniform 1-10,3,28.768
uniform 1-10,4,31.47
uniform 1-10,5,29.45
uniform 1-10,6,29.074
uniform 1-10,7,26.524
uniform 1-10,8,28.176
uniform 1-10,9,27.684
uniform 1-10,10,27.57
uniform 1-10,1,29.232
uniform 1-10,2,31.334
uniform 1-10,3,27.834
uniform 1-10,4,33.904
uniform 1-10,5,30.058
uniform 1-10,6,25.396
uniform 1-10,7,28.602
uniform 1-10,8,27.192
uniform 1-10,9,28.666
uniform 1-10,10,29.856
uniform 1-10,1,28.656
uniform 1-10,2,30.19
uniform 1-10,3,29.164
uniform 1-10,4,29.312
uniform 1-10,5,29.51
uniform 1-10,6,29.09
uniform 1-10,7,28.866
uniform 1-10,8,28.664
uniform 1-10,9,28.086
uniform 1-10,10,27.324
uniform 1-10,1,34.886
uniform 1-10,2,29.484
uniform 1-10,3,30.422
uniform 1-10,4,27.894
uniform 1-10,5,30.28
uniform 1-10,6,27.644
uniform 1-10,7,26.814
uniform 1-10,8,30.04
uniform 1-10,9,28.632
uniform 1-10,10,29.058
uniform 1-10,1,29.96
uniform 1-10,2,28.768
uniform 1-10,3,30.258
uniform 1-10,4,29.348
uniform 1-10,5,28.526
uniform 1-10,6,29.538
uniform 1-10,7,29.742
uniform 1-10,8,26.516
uniform 1-10,9,27.598
uniform 1-10,10,26.554
uniform 1-10,1,30.278
uniform 1-10,2,31.596
uniform 1-10,3,30.118
uniform 1-10,4,32.434
uniform 1-10,5,29.22
uniform 1-10,6,27.908
uniform 1-10,7,27.178
uniform 1-10,8,28.104
uniform 1-10,9,30.802
uniform 1-10,10,27.412
uniform 1-10,1,31.982
uniform 1-10,2,34.78
uniform 1-10,3,28.964
uniform 1-10,4,25.196
uniform 1-10,5,27.376
uniform 1-10,6,30.59
uniform 1-10,7,27.84
uniform 1-10,8,27.666
uniform 1-10,9,23.864
uniform 1-10,10,26.666
uniform 1-10,1,31.14
uniform 1-10,2,28.484
uniform 1-10,3,33.544
uniform 1-10,4,27.668
uniform 1-10,5,26.436
uniform 1-10,6,29.626
uniform 1-10,7,27.416
uniform 1-10,8,28.246
uniform 1-10,9,29.284
uniform 1-10,10,25.66
uniform 1-10,1,31.652
uniform 1-10,2,28.392
uniform 1-10,3,27.602
uniform 1-10,4,30.3
uniform 1-10,5,29.894
uniform 1-10,6,28.672
uniform 1-10,7,27.46
uniform 1-10,8,27.338
uniform 1-10,9,30.806
uniform 1-10,10,28.256
uniform 1-10,1,31.254
uniform 1-10,2,29.688
uniform 1-10,3,29.52
uniform 1-10,4,28.994
uniform 1-10,5,28.482
uniform 1-10,6,28.314
uniform 1-10,7,28.348
uniform 1-10,8,29.146
uniform 1-10,9,28.764
uniform 1-10,10,28.432
uniform 1-10,1,31.532
uniform 1-10,2,33.128
uniform 1-10,3,31.28
uniform 1-10,4,31.792
uniform 1-10,5,26.314
uniform 1-10,6,29.042
uniform 1-10,7,28.39
uniform 1-10,8,28.196
uniform 1-10,9,27.662
uniform 1-10,10,27.282
uniform 1-10,1,28.782
uniform 1-10,2,29.19
uniform 1-10,3,29.258
uniform 1-10,4,28.492
uniform 1-10,5,28.23
uniform 1-10,6,28.316
uniform 1-10,7,30.158
uniform 1-10,8,28.608
uniform 1-10,9,28.05
uniform 1-10,10,26.124
uniform 1-10,1,29.01
uniform 1-10,2,31.374
uniform 1-10,3,31.19
uniform 1-10,4,29.526
uniform 1-10,5,31.014
uniform 1-10,6,27.988
uniform 1-10,7,30.304
uniform 1-10,8,25.324
uniform 1-10,9,26.884
uniform 1-10,10,28.886
uniform 1-10,1,31.486
uniform 1-10,2,27.44
uniform 1-10,3,31.85
uniform 1-10,4,31.436
uniform 1-10,5,26.4
uniform 1-10,6,26.816
uniform 1-10,7,28.404
uniform 1-10,8,28.57
uniform 1-10,9,26.964
uniform 1-10,10,27.37
uniform 1-10,1,33.824
uniform 1-10,2,32.034
uniform 1-10,3,32.03
uniform 1-10,4,32.718
uniform 1-10,5,28.848
uniform 1-10,6,26.886
uniform 1-10,7,28.68
uniform 1-10,8,29.166
uniform 1-10,9,28.874
uniform 1-10,10,29.984
uniform 1-10,1,28.872
uniform 1-10,2,35.152
uniform 1-10,3,31.734
uniform 1-10,4,28.364
uniform 1-10,5,29.598
uniform 1-10,6,28.264
uniform 1-10,7,29.128
uniform 1-10,8,27.324
uniform 1-10,9,28.848
uniform 1-10,10,27.472
uniform 1-10,1,29.852
uniform 1-10,2,31.94
uniform 1-10,3,31.566
uniform 1-10,4,30.098
uniform 1-10,5,28.756
uniform 1-10,6,31.928
uniform 1-10,7,30.508
uniform 1-10,8,25.896
uniform 1-10,9,28.862
uniform 1-10,10,26.972
uniform 1-10,1,29.18
uniform 1-10,2,30.872
uniform 1-10,3,28.928
uniform 1-10,4,29.184
uniform 1-10,5,30.434
uniform 1-10,6,30.292
uniform 1-10,7,30.766
uniform 1-10,8,27.584
uniform 1-10,9,29.638
uniform 1-10,10,27.57
uniform 1-10,1,30.304
uniform 1-10,2,30.87
uniform 1-10,3,30.344
uniform 1-10,4,27.794
uniform 1-10,5,30.648
uniform 1-10,6,29.44
uniform 1-10,7,28.118
uniform 1-10,8,26.832
uniform 1-10,9,28.436
uniform 1-10,10,29.206
uniform 1-10,1,31.944
uniform 1-10,2,29.77
uniform 1-10,3,28.18
uniform 1-10,4,31.978
uniform 1-10,5,27.866
uniform 1-10,6,26.026
uniform 1-10,7,29.142
uniform 1-10,8,30.81
uniform 1-10,9,27.486
uniform 1-10,10,27.82
uniform 1-10,1,29.87
uniform 1-10,2,31.652
uniform 1-10,3,30.51
uniform 1-10,4,32.148
uniform 1-10,5,27.292
uniform 1-10,6,30.168
uniform 1-10,7,29.596
uniform 1-10,8,28.468
uniform 1-10,9,26.71
uniform 1-10,10,26.852
uniform 1-10,1,30.602
uniform 1-10,2,34.402
uniform 1-10,3,31.8
uniform 1-10,4,28.748
uniform 1-10,5,29.804
uniform 1-10,6,31.776
uniform 1-10,7,29.696
uniform 1-10,8,29.372
uniform 1-10,9,27.362
uniform 1-10,10,29.44
uniform 1-10,1,34.85
uniform 1-10,2,31.58
uniform 1-10,3,30.25
uniform 1-10,4,30.864
uniform 1-10,5,27.986
uniform 1-10,6,29.538
uniform 1-10,7,28.132
uniform 1-10,8,28.49
uniform 1-10,9,25.74
uniform 1-10,10,26.812
uniform 1-10,1,30.89
uniform 1-10,2,31.248
uniform 1-10,3,32.482
uniform 1-10,4,30.564
uniform 1-10,5,30.004
uniform 1-10,6,29.394
uniform 1-10,7,26.998
uniform 1-10,8,28.61
uniform 1-10,9,26.446
uniform 1-10,10,28.446
uniform 1-10,1,30.18
uniform 1-10,2,28.632
uniform 1-10,3,34.358
uniform 1-10,4,31.636
uniform 1-10,5,29.196
uniform 1-10,6,29.714
uniform 1-10,7,28.752
uniform 1-10,8,30.608
uniform 1-10,9,27.12
uniform 1-10,10,27.56
uniform 1-10,1,31.83
uniform 1-10,2,31.486
uniform 1-10,3,33.074
uniform 1-10,4,27.594
uniform 1-10,5,28.732
uniform 1-10,6,29.81
uniform 1-10,7,30.136
uniform 1-10,8,27.402
uniform 1-10,9,30.924
uniform 1-10,10,27.824
uniform 1-10,1,32.794
uniform 1-10,2,30.36
uniform 1-10,3,28.282
uniform 1-10,4,31.704
uniform 1-10,5,27.97
uniform 1-10,6,28.852
uniform 1-10,7,29.586
uniform 1-10,8,28.008
uniform 1-10,9,29.464
uniform 1-10,10,25.606
uniform 1-10,1,31.486
uniform 1-10,2,31.206
uniform 1-10,3,31.194
uniform 1-10,4,30.834
uniform 1-10,5,31.542
uniform 1-10,6,27.346
uniform 1-10,7,28.4
uniform 1-10,8,29.142
uniform 1-10,9,28.338
uniform 1-10,10,25.504
uniform 1-10,1,31.232
uniform 1-10,2,29.312
uniform 1-10,3,32.008
uniform 1-10,4,31.888
uniform 1-10,5,28.042
uniform 1-10,6,28.61
uniform 1-10,7,27.312
uniform 1-10,8,29.118
uniform 1-10,9,28.01
uniform 1-10,10,25.616
uniform 1-10,1,29.906
uniform 1-10,2,30.79
uniform 1-10,3,27.452
uniform 1-10,4,26.776
uniform 1-10,5,28.362
uniform 1-10,6,29.624
uniform 1-10,7,30.458
uniform 1-10,8,27.586
uniform 1-10,9,28.314
uniform 1-10,10,28.252
uniform 1-10,1,31.684
uniform 1-10,2,28.68
uniform 1-10,3,30.098
uniform 1-10,4,29.544
uniform 1-10,5,28.766
uniform 1-10,6,28.18
uniform 1-10,7,30.034
uniform 1-10,8,29.948
uniform 1-10,9,27.672
uniform 1-10,10,28.04
uniform 1-10,1,32.748
uniform 1-10,2,26.836
uniform 1-10,3,31.488
uniform 1-10,4,30.304
uniform 1-10,5,28.126
uniform 1-10,6,28.274
uniform 1-10,7,28.044
uniform 1-10,8,28.338
uniform 1-10,9,30.102
uniform 1-10,10,27.394
uniform 1-10,1,32.374
uniform 1-10,2,33.472
uniform 1-10,3,31.548
uniform 1-10,4,29.588
uniform 1-10,5,30.24
uniform 1-10,6,27.438
uniform 1-10,7,30.114
uniform 1-10,8,28.112
uniform 1-10,9,27.354
uniform 1-10,10,28.506
uniform 1-10,1,29.914
uniform 1-10,2,28.08
uniform 1-10,3,28.686
uniform 1-10,4,27.882
uniform 1-10,5,27.952
uniform 1-10,6,26.954
uniform 1-10,7,29.458
uniform 1-10,8,26.666
uniform 1-10,9,28.694
uniform 1-10,10,27.982
uniform 1-10,1,29.638
uniform 1-10,2,32.046
uniform 1-10,3,29.7
uniform 1-10,4,28.46
uniform 1-10,5,29.032
uniform 1-10,6,27.08
uniform 1-10,7,27.834
uniform 1-10,8,28.098
uniform 1-10,9,29.822
uniform 1-10,10,26.318
uniform 1-10,1,33.146
uniform 1-10,2,27.71
uniform 1-10,3,30.038
uniform 1-10,4,29.326
uniform 1-10,5,31.998
uniform 1-10,6,28.962
uniform 1-10,7,30.07
uniform 1-10,8,27.638
uniform 1-10,9,29.762
uniform 1-10,10,27.838
uniform 1-10,1,29.638
uniform 1-10,2,29.662
uniform 1-10,3,30.688
uniform 1-10,4,28.744
uniform 1-10,5,28.214
uniform 1-10,6,31.314
uniform 1-10,7,29.072
uniform 1-10,8,28.504
uniform 1-10,9,26.856
uniform 1-10,10,28.938
uniform 1-10,1,26.57
uniform 1-10,2,31.41
uniform 1-10,3,28.442
uniform 1-10,4,32.744
uniform 1-10,5,29.358
uniform 1-10,6,26.152
uniform 1-10,7,29.402
uniform 1-10,8,29.598
uniform 1-10,9,28.074
uniform 1-10,10,28.144
uniform 1-10,1,29.406
uniform 1-10,2,35.032
uniform 1-10,3,32.496
uniform 1-10,4,28.574
uniform 1-10,5,29.226
uniform 1-10,6,29.336
uniform 1-10,7,28.626
uniform 1-10,8,27.066
uniform 1-10,9,27.64
uniform 1-10,10,26.666
uniform 1-10,1,26.692
uniform 1-10,2,33.642
uniform 1-10,3,30.554
uniform 1-10,4,33.14
uniform 1-10,5,29.104
uniform 1-10,6,27.714
uniform 1-10,7,27.88
uniform 1-10,8,28.196
uniform 1-10,9,27.762
uniform 1-10,10,28.466
uniform 1-10,1,29.604
uniform 1-10,2,31.224
uniform 1-10,3,30.51
uniform 1-10,4,26.55
uniform 1-10,5,31.09
uniform 1-10,6,30.47
uniform 1-10,7,27.928
uniform 1-10,8,27.48
uniform 1-10,9,29.118
uniform 1-10,10,30.478
uniform 1-10,1,31.512
uniform 1-10,2,28.006
uniform 1-10,3,29.622
uniform 1-10,4,26.086
uniform 1-10,5,29.828
uniform 1-10,6,28.832
uniform 1-10,7,28.236
uniform 1-10,8,28.35
uniform 1-10,9,26.312
uniform 1-10,10,26.72
uniform 1-10,1,30.404
uniform 1-10,2,31.996
uniform 1-10,3,31.228
uniform 1-10,4,31.624
uniform 1-10,5,32.234
uniform 1-10,6,28.398
uniform 1-10,7,31.926
uniform 1-10,8,29.004
uniform 1-10,9,28.236
uniform 1-10,10,28.528
uniform 1-10,1,31.218
uniform 1-10,2,34.122
uniform 1-10,3,30.776
uniform 1-10,4,28.694
uniform 1-10,5,28.824
uniform 1-10,6,28.828
uniform 1-10,7,27.622
uniform 1-10,8,30.248
uniform 1-10,9,27.418
uniform 1-10,10,27.874
uniform 1-10,1,34.036
uniform 1-10,2,29.168
uniform 1-10,3,29.48
uniform 1-10,4,28.226
uniform 1-10,5,27.742
uniform 1-10,6,30.074
uniform 1-10,7,26.932
uniform 1-10,8,28.07
uniform 1-10,9,28.65
uniform 1-10,10,27.52
uniform 1-10,1,34.504
uniform 1-10,2,29.362
uniform 1-10,3,28.71
uniform 1-10,4,26.884
uniform 1-10,5,31.774
uniform 1-10,6,28.574
uniform 1-10,7,28.018
uniform 1-10,8,30.304
uniform 1-10,9,29.418
uniform 1-10,10,27.974
uniform 1-10,1,31.476
uniform 1-10,2,33.538
uniform 1-10,3,29.6
uniform 1-10,4,31.094
uniform 1-10,5,27.976
uniform 1-10,6,29.228
uniform 1-10,7,26.538
uniform 1-10,8,26.864
uniform 1-10,9,27.388
uniform 1-10,10,27.428
uniform 1-10,1,28.482
uniform 1-10,2,32.012
uniform 1-10,3,28.994
uniform 1-10,4,30.808
uniform 1-10,5,29.802
uniform 1-10,6,31.04
uniform 1-10,7,31.33
uniform 1-10,8,25.278
uniform 1-10,9,27.368
uniform 1-10,10,27.114
uniform 1-10,1,29.948
uniform 1-10,2,30.632
uniform 1-10,3,30.44
uniform 1-10,4,27.954
uniform 1-10,5,29.692
uniform 1-10,6,27.808
uniform 1-10,7,27.652
uniform 1-10,8,28.616
uniform 1-10,9,29.39
uniform 1-10,10,29.114
uniform 1-10,1,31.914
uniform 1-10,2,32.502
uniform 1-10,3,30.474
uniform 1-10,4,31.424
uniform 1-10,5,30.028
uniform 1-10,6,30.538
uniform 1-10,7,30.57
uniform 1-10,8,28.352
uniform 1-10,9,24.924
uniform 1-10,10,29.088
uniform 1-10,1,30.81
uniform 1-10,2,28.528
uniform 1-10,3,31.05
uniform 1-10,4,29.52
uniform 1-10,5,30.56
uniform 1-10,6,28.556
uniform 1-10,7,30.928
uniform 1-10,8,26.664
uniform 1-10,9,30.288
uniform 1-10,10,25.214
uniform 1-10,1,30.332
uniform 1-10,2,30.022
uniform 1-10,3,32.28
uniform 1-10,4,28.668
uniform 1-10,5,31.552
uniform 1-10,6,30.454
uniform 1-10,7,31.186
uniform 1-10,8,27.362
uniform 1-10,9,29.308
uniform 1-10,10,26.132
uniform 1-10,1,33.21
uniform 1-10,2,30.818
uniform 1-10,3,29.53
uniform 1-10,4,28.1
uniform 1-10,5,28.15
uniform 1-10,6,32.732
uniform 1-10,7,28.838
uniform 1-10,8,28.066
uniform 1-10,9,28.22
uniform 1-10,10,29.672
uniform 1-10,1,32.962
uniform 1-10,2,31.038
uniform 1-10,3,33.806
uniform 1-10,4,29.484
uniform 1-10,5,29.458
uniform 1-10,6,29.758
uniform 1-10,7,27.738
uniform 1-10,8,27.576
uniform 1-10,9,27.816
uniform 1-10,10,28.042
uniform 1-10,1,34.206
uniform 1-10,2,30.462
uniform 1-10,3,26.286
uniform 1-10,4,28.708
uniform 1-10,5,28.262
uniform 1-10,6,27.242
uniform 1-10,7,27.49
uniform 1-10,8,27.734
uniform 1-10,9,29.02
uniform 1-10,10,25.132
uniform 1-10,1,35.988
uniform 1-10,2,32.34
uniform 1-10,3,35.378
uniform 1-10,4,30.032
uniform 1-10,5,28.8
uniform 1-10,6,28.604
uniform 1-10,7,29.266
uniform 1-10,8,27.274
uniform 1-10,9,27.244
uniform 1-10,10,31.032
uniform 1-10,1,29.412
uniform 1-10,2,30.552
uniform 1-10,3,30.05
uniform 1-10,4,31.558
uniform 1-10,5,29.67
uniform 1-10,6,32.684
uniform 1-10,7,27.208
uniform 1-10,8,29.724
uniform 1-10,9,27.022
uniform 1-10,10,29.178
uniform 1-10,1,30.688
uniform 1-10,2,31.676
uniform 1-10,3,31.296
uniform 1-10,4,31.916
uniform 1-10,5,29.374
uniform 1-10,6,26.154
uniform 1-10,7,28.716
uniform 1-10,8,28.616
uniform 1-10,9,27.07
uniform 1-10,10,30.268
uniform 1-10,1,30.094
uniform 1-10,2,27.016
uniform 1-10,3,31.092
uniform 1-10,4,30.738
uniform 1-10,5,30.562
uniform 1-10,6,28.47
uniform 1-10,7,28.858
uniform 1-10,8,28.552
uniform 1-10,9,29.224
uniform 1-10,10,29.254
uniform 1-10,1,30.666
uniform 1-10,2,28.78
uniform 1-10,3,33.826
uniform 1-10,4,28.46
uniform 1-10,5,28.31
uniform 1-10,6,28.054
uniform 1-10,7,31.812
uniform 1-10,8,28.752
uniform 1-10,9,28.194
uniform 1-10,10,28.088
uniform 1-10,1,30.502
uniform 1-10,2,31.36
uniform 1-10,3,31.414
uniform 1-10,4,30.228
uniform 1-10,5,28.89
uniform 1-10,6,27.668
uniform 1-10,7,28.806
uniform 1-10,8,30.454
uniform 1-10,9,30.216
uniform 1-10,10,28.128
uniform 1-10,1,29.114
uniform 1-10,2,28.422
uniform 1-10,3,31.796
uniform 1-10,4,30.946
uniform 1-10,5,29.88
uniform 1-10,6,32.532
uniform 1-10,7,26.568
uniform 1-10,8,28.82
uniform 1-10,9,27.982
uniform 1-10,10,28.748
uniform 1-10,1,28.53
uniform 1-10,2,32.136
uniform 1-10,3,31.332
uniform 1-10,4,31.022
uniform 1-10,5,32.896
uniform 1-10,6,27.766
uniform 1-10,7,27.814
uniform 1-10,8,28.598
uniform 1-10,9,28.17
uniform 1-10,10,28.108
uniform 1-10,1,32.746
uniform 1-10,2,31.568
uniform 1-10,3,31.844
uniform 1-10,4,29.134
uniform 1-10,5,29.904
uniform 1-10,6,32.25
uniform 1-10,7,27.474
uniform 1-10,8,29.778
uniform 1-10,9,28.798
uniform 1-10,10,30.51
uniform 1-10,1,30.66
uniform 1-10,2,30.05
uniform 1-10,3,30.256
uniform 1-10,4,29.66
uniform 1-10,5,30.372
uniform 1-10,6,31.412
uniform 1-10,7,28.526
uniform 1-10,8,29.356
uniform 1-10,9,29.136
uniform 1-10,10,28.332
uniform 1-10,1,29.886
uniform 1-10,2,29.62
uniform 1-10,3,27.824
uniform 1-10,4,31.722
uniform 1-10,5,30.24
uniform 1-10,6,28.29
uniform 1-10,7,27.674
uniform 1-10,8,28.394
uniform 1-10,9,28.11
uniform 1-10,10,28.452
uniform 1-10,1,32.158
uniform 1-10,2,30.642
uniform 1-10,3,31.152
uniform 1-10,4,28.552
uniform 1-10,5,29.274
uniform 1-10,6,30.654
uniform 1-10,7,29.048
uniform 1-10,8,27.912
uniform 1-10,9,27.894
uniform 1-10,10,29.088
uniform 1-10,1,32.874
uniform 1-10,2,29.85
uniform 1-10,3,32.024
uniform 1-10,4,33.31
uniform 1-10,5,27.502
uniform 1-10,6,30.028
uniform 1-10,7,30.712
uniform 1-10,8,27.99
uniform 1-10,9,27.612
uniform 1-10,10,27.45
uniform 1-50,1,34.834
uniform 1-50,2,32.748
uniform 1-50,3,32.932
uniform 1-50,4,34.574
uniform 1-50,5,32.002
uniform 1-50,6,31.762
uniform 1-50,7,35.746
uniform 1-50,8,32.248
uniform 1-50,9,30.142
uniform 1-50,10,32.224
uniform 1-50,11,28.776
uniform 1-50,12,32.152
uniform 1-50,13,32.74
uniform 1-50,14,28.19
uniform 1-50,15,32.116
uniform 1-50,16,30.912
uniform 1-50,17,29.66
uniform 1-50,18,30.992
uniform 1-50,19,29.068
uniform 1-50,20,35.39
uniform 1-50,21,29.11
uniform 1-50,22,30.094
uniform 1-50,23,28.006
uniform 1-50,24,30.2
uniform 1-50,25,28.852
uniform 1-50,26,30.168
uniform 1-50,27,31.842
uniform 1-50,28,29.542
uniform 1-50,29,29.914
uniform 1-50,30,28.656
uniform 1-50,31,30.288
uniform 1-50,32,28.238
uniform 1-50,33,31.046
uniform 1-50,34,30.794
uniform 1-50,35,29.516
uniform 1-50,36,29.91
uniform 1-50,37,29.932
uniform 1-50,38,28.07
uniform 1-50,39,28.094
uniform 1-50,40,28.354
uniform 1-50,41,26.78
uniform 1-50,42,27.402
uniform 1-50,43,29.126
uniform 1-50,44,28.51
uniform 1-50,45,31.028
uniform 1-50,46,27.418
uniform 1-50,47,26.404
uniform 1-50,48,29.55
uniform 1-50,49,28.158
uniform 1-50,50,27.924
uniform 1-50,1,31.972
uniform 1-50,2,33.186
uniform 1-50,3,34.02
uniform 1-50,4,31.686
uniform 1-50,5,29.098
uniform 1-50,6,30.552
uniform 1-50,7,31.626
uniform 1-50,8,31.888
uniform 1-50,9,30.994
uniform 1-50,10,32.066
uniform 1-50,11,32.026
uniform 1-50,12,34.362
uniform 1-50,13,33.468
uniform 1-50,14,33.496
uniform 1-50,15,31.242
uniform 1-50,16,31.342
uniform 1-50,17,29.44
uniform 1-50,18,29.632
uniform 1-50,19,27.676
uniform 1-50,20,30.522
uniform 1-50,21,29.884
uniform 1-50,22,32.134
uniform 1-50,23,31.364
uniform 1-50,24,28.272
uniform 1-50,25,31.37
uniform 1-50,26,29.94
uniform 1-50,27,29.57
uniform 1-50,28,30.86
uniform 1-50,29,28.682
uniform 1-50,30,30.682
uniform 1-50,31,29.364
uniform 1-50,32,28.674
uniform 1-50,33,30.344
uniform 1-50,34,29.566
uniform 1-50,35,30.906
uniform 1-50,36,29.826
uniform 1-50,37,28.588
uniform 1-50,38,28.32
uniform 1-50,39,29.898
uniform 1-50,40,27.578
uniform 1-50,41,30.406
uniform 1-50,42,30.476
uniform 1-50,43,30.09
uniform 1-50,44,29.816
uniform 1-50,45,31.188
uniform 1-50,46,31.766
uniform 1-50,47,30.47
uniform 1-50,48,30.034
uniform 1-50,49,28.172
uniform 1-50,50,28.166
uniform 1-50,1,31.068
uniform 1-50,2,33.35
uniform 1-50,3,28.56
uniform 1-50,4,34.878
uniform 1-50,5,32.296
uniform 1-50,6,33.186
uniform 1-50,7,27.936
uniform 1-50,8,32.084
uniform 1-50,9,32.422
uniform 1-50,10,30.506
uniform 1-50,11,28.738
uniform 1-50,12,29.826
uniform 1-50,13,29.65
uniform 1-50,14,28.848
uniform 1-50,15,29.644
uniform 1-50,16,27.74
uniform 1-50,17,27.188
uniform 1-50,18,28.272
uniform 1-50,19,28.83
uniform 1-50,20,27.968
uniform 1-50,21,30.502
uniform 1-50,22,29.962
uniform 1-50,23,29.32
uniform 1-50,24,29.844
uniform 1-50,25,27.92
uniform 1-50,26,28.436
uniform 1-50,27,28.984
uniform 1-50,28,30.67
uniform 1-50,29,31.242
uniform 1-50,30,29.33
uniform 1-50,31,34.318
uniform 1-50,32,28.188
uniform 1-50,33,27.592
uniform 1-50,34,27.466
uniform 1-50,35,31.404
uniform 1-50,36,29.69
uniform 1-50,37,29.558
uniform 1-50,38,27.296
uniform 1-50,39,29.28
uniform 1-50,40,29.062
uniform 1-50,41,29.792
uniform 1-50,42,29.674
uniform 1-50,43,28.714
uniform 1-50,44,27.892
uniform 1-50,45,26.388
uniform 1-50,46,28.876
uniform 1-50,47,30.524
uniform 1-50,48,25.922
uniform 1-50,49,28.582
uniform 1-50,50,31.04
uniform 1-50,1,31.03
uniform 1-50,2,31.702
uniform 1-50,3,34.67
uniform 1-50,4,32.92
uniform 1-50,5,30.154
uniform 1-50,6,31.48
uniform 1-50,7,36.106
uniform 1-50,8,28.946
uniform 1-50,9,32.76
uniform 1-50,10,30.918
uniform 1-50,11,29.372
uniform 1-50,12,31.826
uniform 1-50,13,29.554
uniform 1-50,14,31.046
uniform 1-50,15,31.216
uniform 1-50,16,30.604
uniform 1-50,17,27.822
uniform 1-50,18,28.116
uniform 1-50,19,30.618
uniform 1-50,20,28.834
uniform 1-50,21,31.126
uniform 1-50,22,30.386
uniform 1-50,23,30.272
uniform 1-50,24,29.924
uniform 1-50,25,27.37
uniform 1-50,26,27.072
uniform 1-50,27,29.486
uniform 1-50,28,30.286
uniform 1-50,29,29.022
uniform 1-50,30,27.902
uniform 1-50,31,28.576
uniform 1-50,32,28.052
uniform 1-50,33,28.122
uniform 1-50,34,31.76
uniform 1-50,35,27.292
uniform 1-50,36,30.156
uniform 1-50,37,28.354
uniform 1-50,38,28.772
uniform 1-50,39,27.48
uniform 1-50,40,27.556
uniform 1-50,41,29.526
uniform 1-50,42,28.494
uniform 1-50,43,29.534
uniform 1-50,44,24.8
uniform 1-50,45,29.776
uniform 1-50,46,29.35
uniform 1-50,47,29.554
uniform 1-50,48,28.742
uniform 1-50,49,28.348
