topo,seed,agent,indeg,meanV
Scale Free,49,48,0,34.566
Scale Free,49,49,3,31.118
Scale Free,49,50,4,30.068
Scale Free,49,51,2,30.264
Scale Free,49,52,2,30.244
Scale Free,49,53,3,31.88
Scale Free,49,54,2,31.464
Scale Free,49,55,3,29.686
Scale Free,49,56,1,30.744
Scale Free,49,57,2,31.638
Scale Free,49,58,0,38.87
Scale Free,49,59,2,29.798
Scale Free,49,60,2,28.974
Scale Free,49,61,2,31.108
Scale Free,49,62,3,29.63
Scale Free,49,63,3,28.464
Scale Free,49,64,4,30.306
Scale Free,49,65,2,31.958
Scale Free,49,66,0,39.072
Scale Free,49,67,1,30.824
Scale Free,49,68,3,30.894
Scale Free,49,69,2,31.176
Scale Free,49,70,2,31.152
Scale Free,49,71,3,30.926
Scale Free,49,72,3,31.314
Scale Free,49,73,1,31.962
Scale Free,49,74,2,29.726
Scale Free,49,75,4,31.198
Scale Free,49,76,1,31.332
Scale Free,49,77,3,31.53
Scale Free,49,78,5,31.39
Scale Free,49,79,2,30.576
Scale Free,50,0,11,29.876
Scale Free,50,1,12,29.126
Scale Free,50,2,10,28.686
Scale Free,50,3,10,29.51
Scale Free,50,4,1,33.656
Scale Free,50,5,10,29.55
Scale Free,50,6,7,30.458
Scale Free,50,7,12,30.532
Scale Free,50,8,4,29.842
Scale Free,50,9,4,31.858
Scale Free,50,10,6,30.838
Scale Free,50,11,3,31.016
Scale Free,50,12,7,30.176
Scale Free,50,13,2,30.942
Scale Free,50,14,9,29.444
Scale Free,50,15,1,30.744
Scale Free,50,16,2,30.67
Scale Free,50,17,2,31.73
Scale Free,50,18,4,29.894
Scale Free,50,19,0,33.556
Scale Free,50,20,3,29.936
Scale Free,50,21,1,32.722
Scale Free,50,22,3,29.678
Scale Free,50,23,6,31.05
Scale Free,50,24,3,30.238
Scale Free,50,25,5,32.48
Scale Free,50,26,6,30.016
Scale Free,50,27,6,30.394
Scale Free,50,28,3,33.176
Scale Free,50,29,3,28.728
Scale Free,50,30,7,30.724
Scale Free,50,31,3,28.68
Scale Free,50,32,8,29.26
Scale Free,50,33,3,30.226
Scale Free,50,34,2,32.76
Scale Free,50,35,2,32.582
Scale Free,50,36,2,28.384
Scale Free,50,37,4,30.862
Scale Free,50,38,1,30.226
Scale Free,50,39,0,39.708
Scale Free,50,40,2,29.314
Scale Free,50,41,4,28.946
Scale Free,50,42,0,33.402
Scale Free,50,43,3,31.558
Scale Free,50,44,2,30.714
Scale Free,50,45,3,30.53
Scale Free,50,46,4,29.752
Scale Free,50,47,1,31.642
Scale Free,50,48,4,31.004
Scale Free,50,49,4,30.76
Scale Free,50,50,5,31.464
Scale Free,50,51,2,31.358
Scale Free,50,52,1,32.322
Scale Free,50,53,1,30.4
Scale Free,50,54,1,30.79
Scale Free,50,55,3,30.352
Scale Free,50,56,7,29.996
Scale Free,50,57,2,33.07
Scale Free,50,58,4,29.134
Scale Free,50,59,3,28.696
Scale Free,50,60,3,30.73
Scale Free,50,61,2,30.962
Scale Free,50,62,2,28.642
Scale Free,50,63,2,32.092
Scale Free,50,64,1,33.162
Scale Free,50,65,2,29.79
Scale Free,50,66,1,31.986
Scale Free,50,67,1,33.59
Scale Free,50,68,3,28.888
Scale Free,50,69,5,30.676
Scale Free,50,70,4,31.522
Scale Free,50,71,2,32.022
Scale Free,50,72,2,31.676
Scale Free,50,73,1,31.64
Scale Free,50,74,4,30.064
Scale Free,50,75,2,29.758
Scale Free,50,76,1,31.898
Scale Free,50,77,1,32.826
Scale Free,50,78,2,31.342
Scale Free,50,79,3,30.232
Scale Free,51,0,11,29.314
Scale Free,51,1,12,29.688
Scale Free,51,2,9,30.626
Scale Free,51,3,8,30.808
Scale Free,51,4,7,30.926
Scale Free,51,5,16,30.206
Scale Free,51,6,9,31.984
Scale Free,51,7,5,31.03
Scale Free,51,8,4,32.352
Scale Free,51,9,6,31.19
Scale Free,51,10,9,30.532
Scale Free,51,11,2,32.316
Scale Free,51,12,10,30.772
Scale Free,51,13,0,36.198
Scale Free,51,14,1,30.22
Scale Free,51,15,4,30.208
Scale Free,51,16,8,29.112
Scale Free,51,17,6,31.27
Scale Free,51,18,3,31.978
Scale Free,51,19,12,29.936
Scale Free,51,20,2,32.026
Scale Free,51,21,2,29.418
Scale Free,51,22,4,30.598
Scale Free,51,23,2,32.086
Scale Free,51,24,9,30.154
Scale Free,51,25,6,29.248
Scale Free,51,26,8,29.98
Scale Free,51,27,3,29.38
Scale Free,51,28,2,30.61
Scale Free,51,29,1,32.984
Scale Free,51,30,1,30.928
Scale Free,51,31,3,31.416
Scale Free,51,32,0,32.762
Scale Free,51,33,6,29.088
Scale Free,51,34,2,30.004
Scale Free,51,35,4,30.572
Scale Free,51,36,4,30.91
Scale Free,51,37,3,30.484
Scale Free,51,38,6,29.452
Scale Free,51,39,3,29.564
Scale Free,51,40,3,31.374
Scale Free,51,41,3,28.884
Scale Free,51,42,1,33.33
Scale Free,51,43,4,28.768
Scale Free,51,44,1,31.092
Scale Free,51,45,0,32.248
Scale Free,51,46,0,35.318
Scale Free,51,47,2,28.688
Scale Free,51,48,1,32.232
Scale Free,51,49,2,29.15
Scale Free,51,50,1,30.154
Scale Free,51,51,2,31.55
Scale Free,51,52,3,31.96
Scale Free,51,53,2,30.468
Scale Free,51,54,4,30.432
Scale Free,51,55,1,30.82
Scale Free,51,56,3,31.386
Scale Free,51,57,1,31.128
Scale Free,51,58,6,30.0
Scale Free,51,59,2,30.636
Scale Free,51,60,2,29.42
Scale Free,51,61,1,29.808
Scale Free,51,62,2,31.366
Scale Free,51,63,2,30.984
Scale Free,51,64,3,30.558
Scale Free,51,65,6,30.476
Scale Free,51,66,4,29.444
Scale Free,51,67,3,31.126
Scale Free,51,68,3,29.478
Scale Free,51,69,3,31.862
Scale Free,51,70,1,28.324
Scale Free,51,71,2,30.84
Scale Free,51,72,1,30.346
Scale Free,51,73,3,29.756
Scale Free,51,74,1,29.65
Scale Free,51,75,1,32.078
Scale Free,51,76,3,31.12
Scale Free,51,77,3,29.988
Scale Free,51,78,1,30.246
Scale Free,51,79,1,33.138
Random,42,0,6,31.134
Random,42,1,3,32.394
Random,42,2,7,29.478
Random,42,3,9,29.59
Random,42,4,5,29.428
Random,42,5,9,31.126
Random,42,6,2,30.604
Random,42,7,4,30.282
Random,42,8,4,29.658
Random,42,9,3,34.454
Random,42,10,4,31.976
Random,42,11,0,31.594
Random,42,12,4,30.658
Random,42,13,6,30.14
Random,42,14,4,32.576
Random,42,15,5,30.214
Random,42,16,6,30.008
Random,42,17,3,31.016
Random,42,18,4,30.31
Random,42,19,6,30.268
Random,42,20,1,33.08
Random,42,21,2,32.97
Random,42,22,2,33.28
Random,42,23,5,31.174
Random,42,24,3,30.894
Random,42,25,1,32.942
Random,42,26,6,31.342
Random,42,27,5,29.208
Random,42,28,5,30.434
Random,42,29,6,29.37
Random,42,30,5,29.422
Random,42,31,5,30.992
Random,42,32,3,31.176
Random,42,33,2,32.244
Random,42,34,1,33.246
Random,42,35,4,29.926
Random,42,36,2,31.774
Random,42,37,7,29.616
Random,42,38,4,30.38
Random,42,39,3,29.642
Random,42,40,6,29.91
Random,42,41,1,30.974
Random,42,42,3,31.216
Random,42,43,4,30.798
Random,42,44,7,30.902
Random,42,45,3,32.09
Random,42,46,1,30.958
Random,42,47,4,30.98
Random,42,48,4,30.682
Random,42,49,5,31.022
Random,42,50,3,32.522
Random,42,51,2,33.058
Random,42,52,5,31.518
Random,42,53,0,32.928
Random,42,54,5,28.788
Random,42,55,2,30.288
Random,42,56,5,28.962
Random,42,57,5,30.706
Random,42,58,2,32.026
Random,42,59,4,30.44
Random,42,60,0,31.396
Random,42,61,5,30.896
Random,42,62,4,30.634
Random,42,63,3,27.518
Random,42,64,5,30.214
Random,42,65,2,31.498
Random,42,66,6,28.972
Random,42,67,7,30.052
Random,42,68,3,28.824
Random,42,69,5,30.712
Random,42,70,6,32.258
Random,42,71,5,30.302
Random,42,72,3,31.988
Random,42,73,3,31.016
Random,42,74,2,32.084
Random,42,75,5,29.662
Random,42,76,3,31.348
Random,42,77,3,31.336
Random,42,78,5,32.544
Random,42,79,1,31.936
Random,43,0,6,32.99
Random,43,1,3,32.858
Random,43,2,3,32.918
Random,43,3,4,31.9
Random,43,4,5,31.932
Random,43,5,5,32.534
Random,43,6,1,33.082
Random,43,7,5,31.778
Random,43,8,5,32.338
