condition,indeg,meanV
recency + learning by testing,56,27.77
recency + learning by testing,57,30.12
recency + learning by testing,58,31.55
recency + learning by testing,59,28.176
recency + learning by testing,60,27.19
recency + learning by testing,61,29.096
recency + learning by testing,62,30.758
recency + learning by testing,63,28.152
recency + learning by testing,64,28.75
recency + learning by testing,65,26.082
recency + learning by testing,66,27.69
recency + learning by testing,67,30.556
recency + learning by testing,68,28.278
recency + learning by testing,69,31.598
recency + learning by testing,70,28.556
recency + learning by testing,71,30.4
recency + learning by testing,72,29.486
recency + learning by testing,73,28.396
recency + learning by testing,74,29.914
recency + learning by testing,75,26.346
recency + learning by testing,76,27.294
recency + learning by testing,77,29.624
recency + learning by testing,78,28.216
recency + learning by testing,79,26.404
recency + learning by testing,80,26.902
recency + learning by testing,81,26.458
recency + learning by testing,82,26.858
recency + learning by testing,83,27.54
recency + learning by testing,84,29.534
recency + learning by testing,85,28.478
recency + learning by testing,86,28.668
recency + learning by testing,87,26.254
recency + learning by testing,88,29.132
recency + learning by testing,89,26.688
recency + learning by testing,90,27.316
recency + learning by testing,91,28.496
recency + learning by testing,92,27.3
recency + learning by testing,93,27.54
recency + learning by testing,94,28.134
recency + learning by testing,95,28.702
recency + learning by testing,96,27.33
recency + learning by testing,97,28.888
recency + learning by testing,98,28.586
recency + learning by testing,99,28.398
recency + learning by testing,100,27.156
recency + learning by testing,1,31.834
recency + learning by testing,1,31.984
recency + learning by testing,2,30.38
recency + learning by testing,3,31.826
recency + learning by testing,4,33.126
recency + learning by testing,5,33.004
recency + learning by testing,6,32.106
recency + learning by testing,7,34.3
recency + learning by testing,8,31.294
recency + learning by testing,9,31.916
recency + learning by testing,10,30.536
recency + learning by testing,11,32.504
recency + learning by testing,12,32.672
recency + learning by testing,13,31.364
recency + learning by testing,14,31.844
recency + learning by testing,15,27.142
recency + learning by testing,16,29.43
recency + learning by testing,17,27.108
recency + learning by testing,18,29.082
recency + learning by testing,19,29.936
recency + learning by testing,20,30.648
recency + learning by testing,21,29.006
recency + learning by testing,22,32.13
recency + learning by testing,23,32.23
recency + learning by testing,24,31.158
recency + learning by testing,25,28.676
recency + learning by testing,26,29.342
recency + learning by testing,27,32.368
recency + learning by testing,28,31.71
recency + learning by testing,29,31.762
recency + learning by testing,30,27.014
recency + learning by testing,31,31.594
recency + learning by testing,32,30.484
recency + learning by testing,33,27.964
recency + learning by testing,34,29.19
recency + learning by testing,35,29.896
recency + learning by testing,36,30.486
recency + learning by testing,37,29.714
recency + learning by testing,38,28.526
recency + learning by testing,39,28.42
recency + learning by testing,40,27.96
recency + learning by testing,41,30.19
recency + learning by testing,42,29.232
recency + learning by testing,43,27.188
recency + learning by testing,44,28.022
recency + learning by testing,45,29.062
recency + learning by testing,46,28.582
recency + learning by testing,47,27.454
recency + learning by testing,48,28.47
recency + learning by testing,49,27.534
recency + learning by testing,50,28.39
recency + learning by testing,51,26.702
recency + learning by testing,52,29.392
recency + learning by testing,53,28.876
recency + learning by testing,54,26.738
recency + learning by testing,55,29.814
recency + learning by testing,56,28.418
recency + learning by testing,57,28.756
recency + learning by testing,58,26.996
recency + learning by testing,59,28.026
recency + learning by testing,60,27.992
recency + learning by testing,61,27.288
recency + learning by testing,62,27.652
recency + learning by testing,63,29.378
recency + learning by testing,64,28.258
recency + learning by testing,65,26.46
recency + learning by testing,66,29.094
recency + learning by testing,67,29.466
recency + learning by testing,68,28.284
recency + learning by testing,69,27.418
recency + learning by testing,70,28.154
recency + learning by testing,71,27.556
recency + learning by testing,72,29.302
recency + learning by testing,73,28.026
recency + learning by testing,74,28.476
recency + learning by testing,75,27.76
recency + learning by testing,76,28.566
recency + learning by testing,77,30.244
recency + learning by testing,78,31.056
recency + learning by testing,79,28.552
recency + learning by testing,80,28.002
recency + learning by testing,81,25.244
recency + learning by testing,82,28.784
recency + learning by testing,83,27.458
recency + learning by testing,84,29.928
recency + learning by testing,85,28.842
recency + learning by testing,86,27.064
recency + learning by testing,87,25.458
recency + learning by testing,88,29.452
recency + learning by testing,89,28.31
recency + learning by testing,90,28.448
recency + learning by testing,91,25.42
recency + learning by testing,92,27.564
recency + learning by testing,93,25.368
recency + learning by testing,94,29.642
recency + learning by testing,95,28.784
recency + learning by testing,96,28.286
recency + learning by testing,97,25.848
recency + learning by testing,98,27.518
recency + learning by testing,99,27.99
recency + learning by testing,100,26.808
recency + learning by testing,1,33.664
recency + learning by testing,1,31.196
recency + learning by testing,2,29.094
recency + learning by testing,3,33.26
recency + learning by testing,4,33.116
recency + learning by testing,5,30.678
recency + learning by testing,6,34.878
recency + learning by testing,7,29.424
recency + learning by testing,8,31.838
recency + learning by testing,9,32.262
recency + learning by testing,10,31.356
recency + learning by testing,11,30.022
recency + learning by testing,12,33.652
recency + learning by testing,13,31.696
recency + learning by testing,14,30.362
recency + learning by testing,15,31.288
recency + learning by testing,16,31.096
recency + learning by testing,17,29.87
recency + learning by testing,18,33.224
recency + learning by testing,19,30.954
recency + learning by testing,20,33.45
recency + learning by testing,21,31.776
recency + learning by testing,22,32.608
recency + learning by testing,23,30.64
recency + learning by testing,24,29.288
recency + learning by testing,25,27.924
recency + learning by testing,26,30.98
recency + learning by testing,27,30.784
recency + learning by testing,28,28.71
recency + learning by testing,29,29.396
recency + learning by testing,30,29.702
recency + learning by testing,31,31.884
recency + learning by testing,32,29.18
recency + learning by testing,33,30.644
recency + learning by testing,34,31.266
recency + learning by testing,35,28.166
recency + learning by testing,36,30.232
recency + learning by testing,37,29.642
recency + learning by testing,38,30.68
recency + learning by testing,39,31.398
recency + learning by testing,40,29.47
recency + learning by testing,41,31.656
recency + learning by testing,42,28.37
recency + learning by testing,43,30.218
recency + learning by testing,44,30.318
recency + learning by testing,45,29.796
recency + learning by testing,46,31.204
recency + learning by testing,47,28.6
recency + learning by testing,48,28.852
recency + learning by testing,49,32.742
recency + learning by testing,50,29.398
recency + learning by testing,51,30.498
recency + learning by testing,52,30.122
recency + learning by testing,53,29.66
recency + learning by testing,54,28.392
recency + learning by testing,55,26.94
recency + learning by testing,56,30.138
recency + learning by testing,57,29.09
recency + learning by testing,58,25.2
recency + learning by testing,59,30.51
recency + learning by testing,60,29.47
recency + learning by testing,61,32.152
recency + learning by testing,62,31.324
recency + learning by testing,63,30.18
recency + learning by testing,64,29.524
recency + learning by testing,65,27.974
recency + learning by testing,66,26.518
recency + learning by testing,67,29.964
recency + learning by testing,68,29.086
recency + learning by testing,69,32.172
recency + learning by testing,70,28.59
recency + learning by testing,71,29.042
recency + learning by testing,72,30.49
recency + learning by testing,73,27.348
recency + learning by testing,74,30.548
recency + learning by testing,75,29.85
recency + learning by testing,76,28.43
recency + learning by testing,77,27.866
recency + learning by testing,78,30.638
recency + learning by testing,79,27.668
recency + learning by testing,80,28.488
recency + learning by testing,81,29.656
recency + learning by testing,82,27.874
recency + learning by testing,83,29.24
recency + learning by testing,84,28.464
recency + learning by testing,85,28.538
recency + learning by testing,86,28.422
recency + learning by testing,87,27.238
recency + learning by testing,88,27.168
recency + learning by testing,89,27.932
recency + learning by testing,90,25.16
recency + learning by testing,91,27.424
recency + learning by testing,92,28.322
recency + learning by testing,93,29.208
recency + learning by testing,94,28.78
recency + learning by testing,95,30.02
recency + learning by testing,96,28.396
recency + learning by testing,97,30.078
recency + learning by testing,98,28.032
recency + learning by testing,99,27.78
recency + learning by testing,100,25.726
recency + learning by testing,1,29.412
recency + learning by testing,1,33.264
recency + learning by testing,2,32.746
recency + learning by testing,3,28.12
recency + learning by testing,4,30.652
recency + learning by testing,5,30.362
recency + learning by testing,6,32.714
recency + learning by testing,7,31.712
recency + learning by testing,8,31.548
recency + learning by testing,9,30.508
recency + learning by testing,10,31.614
recency + learning by testing,11,29.576
recency + learning by testing,12,31.64
recency + learning by testing,13,31.856
recency + learning by testing,14,33.246
recency + learning by testing,15,32.956
recency + learning by testing,16,33.888
recency + learning by testing,17,34.336
recency + learning by testing,18,30.446
recency + learning by testing,19,31.936
recency + learning by testing,20,27.352
recency + learning by testing,21,34.804
recency + learning by testing,22,28.214
recency + learning by testing,23,30.81
recency + learning by testing,24,30.6
recency + learning by testing,25,30.358
recency + learning by testing,26,30.686
recency + learning by testing,27,31.994
recency + learning by testing,28,32.162
recency + learning by testing,29,28.24
recency + learning by testing,30,31.608
recency + learning by testing,31,28.234
recency + learning by testing,32,27.392
recency + learning by testing,33,32.048
recency + learning by testing,34,30.292
recency + learning by testing,35,32.33
recency + learning by testing,36,29.34
recency + learning by testing,37,31.648
recency + learning by testing,38,29.09
recency + learning by testing,39,30.456
recency + learning by testing,40,30.494
recency + learning by testing,41,27.68
recency + learning by testing,42,29.272
recency + learning by testing,43,28.204
recency + learning by testing,44,31.696
recency + learning by testing,45,29.02
recency + learning by testing,46,29.192
recency + learning by testing,47,28.252
recency + learning by testing,48,29.434
recency + learning by testing,49,33.09
recency + learning by testing,50,31.228
recency + learning by testing,51,27.732
recency + learning by testing,52,31.726
recency + learning by testing,53,29.868
recency + learning by testing,54,29.934
recency + learning by testing,55,30.442
recency + learning by testing,56,30.68
recency + learning by testing,57,30.924
recency + learning by testing,58,31.02
recency + learning by testing,59,31.274
recency + learning by testing,60,29.566
recency + learning by testing,61,29.578
recency + learning by testing,62,28.972
recency + learning by testing,63,30.06
recency + learning by testing,64,30.246
recency + learning by testing,65,29.316
recency + learning by testing,66,30.77
recency + learning by testing,67,30.968
recency + learning by testing,68,29.364
recency + learning by testing,69,30.122
recency + learning by testing,70,30.114
recency + learning by testing,71,26.992
recency + learning by testing,72,28.064
recency + learning by testing,73,29.36
recency + learning by testing,74,29.196
recency + learning by testing,75,29.83
recency + learning by testing,76,28.732
recency + learning by testing,77,27.304
recency + learning by testing,78,28.622
recency + learning by testing,79,31.386
recency + learning by testing,80,27.81
recency + learning by testing,81,30.17
recency + learning by testing,82,28.136
recency + learning by testing,83,31.224
recency + learning by testing,84,26.492
recency + learning by testing,85,27.706
recency + learning by testing,86,27.298
recency + learning by testing,87,30.94
recency + learning by testing,88,29.442
recency + learning by testing,89,27.268
recency + learning by testing,90,28.634
recency + learning by testing,91,29.566
recency + learning by testing,92,29.05
recency + learning by testing,93,26.666
recency + learning by testing,94,29.292
recency + learning by testing,95,30.446
recency + learning by testing,96,27.894
recency + learning by testing,97,26.584
recency + learning by testing,98,28.462
recency + learning by testing,99,27.228
recency + learning by testing,100,30.01
recency + learning by testing,1,35.416
recency + learning by testing,1,31.038
recency + learning by testing,2,34.646
recency + learning by testing,3,33.77
recency + learning by testing,4,30.244
recency + learning by testing,5,28.598
recency + learning by testing,6,31.718
recency + learning by testing,7,32.336
recency + learning by testing,8,33.438
recency + learning by testing,9,33.212
recency + learning by testing,10,32.728
recency + learning by testing,11,32.326
recency + learning by testing,12,29.318
recency + learning by testing,13,33.378
recency + learning by testing,14,30.404
recency + learning by testing,15,29.596
recency + learning by testing,16,30.084
recency + learning by testing,17,31.504
recency + learning by testing,18,33.682
recency + learning by testing,19,32.406
recency + learning by testing,20,36.206
recency + learning by testing,21,30.144
